date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:57	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Aug%202018%2010:31:54%20GMT	http://www.moezkrichen.tn/robots.txt		(from )
11:31:57	31103/31103	---M--	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202018%2007:20:52%20GMT	http://www.moezkrichen.tn/	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/index.html	(from )
11:31:58	1079/1079	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Oct%202017%2017:50:54%20GMT	http://www.moezkrichen.tn/assets/images/ic.png	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/ic.png	(from http://www.moezkrichen.tn/)
11:31:58	337/337	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Aug%202018%2010:31:55%20GMT	http://www.moezkrichen.tn/apple-touch-icon.png	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/apple-touch-icon.1.delayed	(from http://www.moezkrichen.tn/)
11:31:58	113498/113498	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/css/bootstrap.min.css	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/css/bootstrap.min.css	(from http://www.moezkrichen.tn/)
11:32:00	71531/71531	---M--	200	added ('OK')	text/css	date:Thu,%2021%20Jan%202016%2017:26:20%20GMT	http://www.moezkrichen.tn/assets/css/plugins.css	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/css/plugins.css	(from http://www.moezkrichen.tn/)
11:32:01	1060/1060	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Dec%202016%2012:48:42%20GMT	http://www.moezkrichen.tn/assets/css/roboto-railway-webfont.css	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/css/roboto-railway-webfont.css	(from http://www.moezkrichen.tn/)
11:32:01	8362/8362	---M--	200	added ('OK')	text/css	date:Sat,%2006%20Feb%202016%2001:14:50%20GMT	http://www.moezkrichen.tn/assets/css/linearicons-web-font.css	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/css/linearicons-web-font.css	(from http://www.moezkrichen.tn/)
11:32:01	7806/7806	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Feb%202016%2000:50:46%20GMT	http://www.moezkrichen.tn/assets/css/magnific-popup.css	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/css/magnific-popup.css	(from http://www.moezkrichen.tn/)
11:32:01	21226/21226	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Jan%202018%2009:31:02%20GMT	http://www.moezkrichen.tn/assets/css/style.css	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/css/style.css	(from http://www.moezkrichen.tn/)
11:32:02	1770/1770	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202016%2000:21:34%20GMT	http://www.moezkrichen.tn/assets/css/responsive.css	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/css/responsive.css	(from http://www.moezkrichen.tn/)
11:32:02	31103/31103	---M--	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202018%2007:20:52%20GMT	http://www.moezkrichen.tn/index.html	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/index-2.html	(from http://www.moezkrichen.tn/)
11:32:04	20106/20106	---M--	200	added ('OK')	application/javascript	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	(from http://www.moezkrichen.tn/)
11:32:04	10356/10356	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Oct%202017%2010:18:02%20GMT	http://www.moezkrichen.tn/assets/images/logo.png	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/logo.png	(from http://www.moezkrichen.tn/)
11:32:10	35615/35615	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Nov%202017%2020:46:18%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf1.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf1.jpg	(from http://www.moezkrichen.tn/)
11:32:11	40933/40933	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Nov%202017%2020:53:30%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf2.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf2.jpg	(from http://www.moezkrichen.tn/)
11:32:13	55066/55066	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Nov%202017%2020:55:28%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf3.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf3.jpg	(from http://www.moezkrichen.tn/)
11:32:15	32516/32516	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Nov%202017%2020:57:34%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf4.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf4.jpg	(from http://www.moezkrichen.tn/)
11:32:18	46131/46131	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Nov%202017%2021:00:30%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf5.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf5.jpg	(from http://www.moezkrichen.tn/)
