date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:16	53304/53304	U-----	200	untouched ('')	image/jpeg	date:Mon,%2004%20Dec%202017%2009:36:36%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf13.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf13.jpg	(from http://www.moezkrichen.tn/)
11:38:16	36599/36599	U-----	200	untouched ('')	image/jpeg	date:Mon,%2004%20Dec%202017%2009:54:40%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf14.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf14.jpg	(from http://www.moezkrichen.tn/)
11:38:17	63850/63850	U-----	200	untouched ('')	image/jpeg	date:Sun,%2010%20Dec%202017%2017:08:10%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf15.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf15.jpg	(from http://www.moezkrichen.tn/)
11:38:17	57840/57840	U-----	200	untouched ('')	image/jpeg	date:Sun,%2010%20Dec%202017%2017:07:58%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf16.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf16.jpg	(from http://www.moezkrichen.tn/)
11:38:17	56185/56185	U-----	200	untouched ('')	image/jpeg	date:Thu,%2025%20Jan%202018%2009:47:48%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf17.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf17.jpg	(from http://www.moezkrichen.tn/)
11:38:17	49087/49087	U-----	200	untouched ('')	image/jpeg	date:Tue,%2030%20Jan%202018%2022:10:10%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf18.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf18.jpg	(from http://www.moezkrichen.tn/)
11:38:17	35843/35843	U-----	200	untouched ('')	image/jpeg	date:Tue,%2030%20Jan%202018%2022:09:58%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf19.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf19.jpg	(from http://www.moezkrichen.tn/)
11:38:17	31946/31946	U-----	200	untouched ('')	image/jpeg	date:Tue,%2030%20Jan%202018%2022:09:48%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf20.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf20.jpg	(from http://www.moezkrichen.tn/)
11:38:18	36856/36856	U-----	200	untouched ('')	image/jpeg	date:Tue,%2030%20Jan%202018%2022:10:34%20GMT	http://www.moezkrichen.tn/assets/images/portfolio/pf21.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/portfolio/pf21.jpg	(from http://www.moezkrichen.tn/)
11:38:18	1222483/1222483	U-----	200	untouched ('')	image/png	date:Tue,%2031%20Oct%202017%2020:05:40%20GMT	http://www.moezkrichen.tn/assets/images/untitled-1.png	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/untitled-1.png	(from http://www.moezkrichen.tn/)
11:38:18	95931/95931	U-----	200	untouched ('')	application/javascript	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/js/vendor/jquery-1.11.2.min.js	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/js/vendor/jquery-1.11.2.min.js	(from http://www.moezkrichen.tn/)
11:38:18	35601/35601	U-----	200	untouched ('')	application/javascript	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/js/vendor/bootstrap.min.js	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/js/vendor/bootstrap.min.js	(from http://www.moezkrichen.tn/)
11:38:18	67758/67758	U-----	200	untouched ('')	application/javascript	date:Thu,%2021%20Jan%202016%2017:25:58%20GMT	http://www.moezkrichen.tn/assets/js/plugins.js	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/js/plugins.js	(from http://www.moezkrichen.tn/)
11:38:18	46354/46354	U-----	200	untouched ('')	application/javascript	date:Thu,%2021%20Jan%202016%2022:35:20%20GMT	http://www.moezkrichen.tn/assets/js/jquery.magnific-popup.js	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/js/jquery.magnific-popup.js	(from http://www.moezkrichen.tn/)
11:38:19	3937/3937	U-----	200	untouched ('')	application/javascript	date:Thu,%2025%20Jan%202018%2009:30:38%20GMT	http://www.moezkrichen.tn/assets/js/main.js	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/js/main.js	(from http://www.moezkrichen.tn/)
11:38:19	20335/20335	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.moezkrichen.tn/assets/css/bootstrap.min.css)
